"track_id","simplified_genre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","track_name","saved"
"7sI80PK0P3tDCvULKszqzL","rock",0.765,0.806,0,-4.464,0,0.0276,0.0453,0.0129,0.0914,0.964,116.017,208213,4,"Set to Attack","TRUE"
"6l7EWyRzo2mkMkxDKI8NZ7","rock",0.637,0.635,0,-5.299,1,0.029,0.00698,9.62e-05,0.0934,0.487,141.998,223520,4,"Strangers","TRUE"
"6SdAztAqklk1zAmUHhU4N7","rock",0.569,0.89,5,-4.447,1,0.0559,0.00595,0.0112,0.226,0.885,137.044,203240,4,"Taken for a Fool","TRUE"
"6DUKQUhWqUySYngLXLNwP2","rock",0.675,0.535,1,-6.109,1,0.0376,0.00329,0.719,0.104,0.914,105.921,207133,4,"Automatic Stop","TRUE"
"6Yu1OL8I0D4vjOzYdsXYGK","rock",0.451,0.889,4,-3.838,1,0.0379,0.312,0.8,0.558,0.592,145.056,153133,4,"12:51","TRUE"
"6lnnaGN20kl0jEYJSxCgU9","rock",0.304,0.971,4,-3.226,1,0.0351,0.0594,0.955,0.0799,0.695,127.856,186267,4,"You Talk Way Too Much","TRUE"
"08l9WKDuRyGeStQ9ojTlFh","rock",0.427,0.941,7,-3.973,1,0.0336,6.7e-05,0.89,0.0772,0.587,139.956,176160,4,"Meet Me in the Bathroom","TRUE"
"6YQeOwMMAkB9MV9yMWmrjh","rock",0.594,0.728,0,-6.917,1,0.0281,0.216,0.0881,0.124,0.687,137.97,264662,4,"Threat of Joy","TRUE"
"5GKVcvTgnFYtfh25qKQtRg","rock",0.516,0.942,2,-4.113,1,0.036,0.000182,0.464,0.116,0.964,95.996,242293,4,"One Way Trigger","TRUE"
"6z5mh42xSM54RncKZMM8hS","rock",0.736,0.297,2,-9.648,1,0.035,0.863,1.49e-05,0.0609,0.185,125.78,182027,4,"Call Me Back","TRUE"
"3iiObSfkcBsETljmSB4Hcs","rock",0.721,0.654,0,-8.107,1,0.0329,0.268,0.00392,0.15,0.903,131.963,175200,4,"When It Started","TRUE"
