"track.name","track.id","track.album.name"
"Set to Attack","7sI80PK0P3tDCvULKszqzL","Francis Trouble"
"Strangers","6l7EWyRzo2mkMkxDKI8NZ7","Francis Trouble"
"Taken for a Fool","6SdAztAqklk1zAmUHhU4N7","Angles"
"Automatic Stop","6DUKQUhWqUySYngLXLNwP2","Room On Fire"
"12:51","6Yu1OL8I0D4vjOzYdsXYGK","Room On Fire"
"You Talk Way Too Much","6lnnaGN20kl0jEYJSxCgU9","Room On Fire"
"Meet Me in the Bathroom","08l9WKDuRyGeStQ9ojTlFh","Room On Fire"
"Threat of Joy","6YQeOwMMAkB9MV9yMWmrjh","Future Present Past"
"One Way Trigger","5GKVcvTgnFYtfh25qKQtRg","Comedown Machine"
"Call Me Back","6z5mh42xSM54RncKZMM8hS","Angles"
"When It Started","3iiObSfkcBsETljmSB4Hcs","Is This It"
"Is This It","0jBE7Fn78EAvmIs3dCd6GO","Is This It"
"Soma","6gU7ohksNd6LsEJMWfDRhp","Is This It"
"Someday","7hm4HTk9encxT0LYC0J6oI","Is This It"
"Alone, Together","4UmJMAY5TqXPAnsDW1Mci7","Is This It"
"Trying Your Luck","5KupfEBaVJwL7D2ZN0n1Q1","Is This It"
"You Only Live Once","4fPBB44eDH71YohayI4eKV","First Impressions Of Earth"
"Ize of the World","1TbK5nWKIxZYIRVurMvkuR","First Impressions Of Earth"
"Happy Ending","1OXGJ7jRok4c3KBnIYkuwH","Comedown Machine"
"Lazy Boy","5xXkyBtG1sNIhkpCIxF0Il","Virtue"
"Pyramid of Bones","0tfvDUmADEEEqrPcRJNT29","Virtue"
"Instant Crush (feat. Julian Casablancas)","2cGxRwrMyEAp8dEbuZaVv6","Random Access Memories"
"95 Radios","46pKXSkEQfqB0wEy5uxtcG","Brick Body Kids Still Daydream"
"Leave It In My Dreams","31u6rUeIEXGrYVoh10U7eu","Virtue"
"Human Sadness","2avCzL6HtaJ5Nspq2fVFQe","Tyranny"
"Life Is Simple in the Moonlight","4ileLT7ldd2uX8bMemWqbm","Angles"
"Fast Times","6b7B92At6GcqZwndlhpSH7","Fast Times"
"More to Life","1UrvESEfYBjNB6otQWdyRj","More to Life"
"Muted Beatings","2iLkTMUJ2MCsry5yYiafCg","Francis Trouble"
"Tea for Two","68qYhu1du0kbiyAtnIKNLh","Francis Trouble"
"No One There (feat. Julian Casablancas)","5Uv745RQ6uXics2lpvypZy","Last Dance"
"Side Boob","6APntjRiq5YEH9AtI1mNlV","Momentary Masters"
"Four Out Of Five","4JeTkHQcajdkhGwaGsaKMT","Tranquility Base Hotel & Casino"
"Luv(sic.) pt3 (feat. Shing02)","4xlpJ99yL9xYQtzG6c3hwk","Modal Soul"
"Daydreaming in the Projects","1Vb2J33frYj5xiTyz7mB50","Brick Body Kids Still Daydream"
"Father Electricity","65ZXieFfjnc5RdWDDpYZNb","Tyranny"
"Cantaloop (Flip Fantasia)","2AnTuxahfcAS7dGxGZnihY","Hand On The Torch"
"Brick Body Complex","7tlGq6EAEIWsv7srZWc5f7","Brick Body Kids Still Daydream"
"(How Could Anybody) Feel at Home","0V6QNE31BWyMuiKlvDRnE9","Brick Body Kids Still Daydream"
"I'm Sorry We Lied","7CZVRcSQovpWUtG8FeDqMU","Coastal Grooves"
"Dancing in the Moonlight","0q21FNwES2bbtcduB6kjEU","Dancing in the Moonlight"
"Games","5pFSbiW5XewiQONONBQbqF","Angles"
"River of Brakelights","6ETWn02Bv8JIYXHvSoQD5u","Phrazes For The Young"
