track.name,track.id,track.album.name,simplified_genre
Set to Attack,7sI80PK0P3tDCvULKszqzL,Francis Trouble,rock
Strangers,6l7EWyRzo2mkMkxDKI8NZ7,Francis Trouble,rock
Taken for a Fool,6SdAztAqklk1zAmUHhU4N7,Angles,rock
Automatic Stop,6DUKQUhWqUySYngLXLNwP2,Room On Fire,rock
12:51,6Yu1OL8I0D4vjOzYdsXYGK,Room On Fire,rock
You Talk Way Too Much,6lnnaGN20kl0jEYJSxCgU9,Room On Fire,rock
Meet Me in the Bathroom,08l9WKDuRyGeStQ9ojTlFh,Room On Fire,rock
Threat of Joy,6YQeOwMMAkB9MV9yMWmrjh,Future Present Past,rock
One Way Trigger,5GKVcvTgnFYtfh25qKQtRg,Comedown Machine,rock
Call Me Back,6z5mh42xSM54RncKZMM8hS,Angles,rock
When It Started,3iiObSfkcBsETljmSB4Hcs,Is This It,rock
Is This It,0jBE7Fn78EAvmIs3dCd6GO,Is This It,rock
Soma,6gU7ohksNd6LsEJMWfDRhp,Is This It,rock
Someday,7hm4HTk9encxT0LYC0J6oI,Is This It,rock
"Alone, Together",4UmJMAY5TqXPAnsDW1Mci7,Is This It,rock
Trying Your Luck,5KupfEBaVJwL7D2ZN0n1Q1,Is This It,rock
You Only Live Once,4fPBB44eDH71YohayI4eKV,First Impressions Of Earth,rock
Ize of the World,1TbK5nWKIxZYIRVurMvkuR,First Impressions Of Earth,rock
Happy Ending,1OXGJ7jRok4c3KBnIYkuwH,Comedown Machine,rock
Lazy Boy,5xXkyBtG1sNIhkpCIxF0Il,Virtue,rock
Pyramid of Bones,0tfvDUmADEEEqrPcRJNT29,Virtue,rock
Instant Crush (feat. Julian Casablancas),2cGxRwrMyEAp8dEbuZaVv6,Random Access Memories,other
95 Radios,46pKXSkEQfqB0wEy5uxtcG,Brick Body Kids Still Daydream,hip hop
Leave It In My Dreams,31u6rUeIEXGrYVoh10U7eu,Virtue,rock
Human Sadness,2avCzL6HtaJ5Nspq2fVFQe,Tyranny,rock
Life Is Simple in the Moonlight,4ileLT7ldd2uX8bMemWqbm,Angles,rock
Fast Times,6b7B92At6GcqZwndlhpSH7,Fast Times,rock
More to Life,1UrvESEfYBjNB6otQWdyRj,More to Life,rock
Muted Beatings,2iLkTMUJ2MCsry5yYiafCg,Francis Trouble,rock
