danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track.name,track.album.name
0.765,0.806,0,-4.464,0,0.0276,0.0453,0.0129,0.0914,0.964,116.017,audio_features,7sI80PK0P3tDCvULKszqzL,spotify:track:7sI80PK0P3tDCvULKszqzL,https://api.spotify.com/v1/tracks/7sI80PK0P3tDCvULKszqzL,https://api.spotify.com/v1/audio-analysis/7sI80PK0P3tDCvULKszqzL,208213,4,Set to Attack,Francis Trouble
0.637,0.635,0,-5.299,1,0.029,0.00698,9.62E-05,0.0934,0.487,141.998,audio_features,6l7EWyRzo2mkMkxDKI8NZ7,spotify:track:6l7EWyRzo2mkMkxDKI8NZ7,https://api.spotify.com/v1/tracks/6l7EWyRzo2mkMkxDKI8NZ7,https://api.spotify.com/v1/audio-analysis/6l7EWyRzo2mkMkxDKI8NZ7,223520,4,Strangers,Francis Trouble
0.569,0.89,5,-4.447,1,0.0559,0.00595,0.0112,0.226,0.885,137.044,audio_features,6SdAztAqklk1zAmUHhU4N7,spotify:track:6SdAztAqklk1zAmUHhU4N7,https://api.spotify.com/v1/tracks/6SdAztAqklk1zAmUHhU4N7,https://api.spotify.com/v1/audio-analysis/6SdAztAqklk1zAmUHhU4N7,203240,4,Taken for a Fool,Angles
0.675,0.535,1,-6.109,1,0.0376,0.00329,0.719,0.104,0.914,105.921,audio_features,6DUKQUhWqUySYngLXLNwP2,spotify:track:6DUKQUhWqUySYngLXLNwP2,https://api.spotify.com/v1/tracks/6DUKQUhWqUySYngLXLNwP2,https://api.spotify.com/v1/audio-analysis/6DUKQUhWqUySYngLXLNwP2,207133,4,Automatic Stop,Room On Fire
0.451,0.889,4,-3.838,1,0.0379,0.312,0.8,0.558,0.592,145.056,audio_features,6Yu1OL8I0D4vjOzYdsXYGK,spotify:track:6Yu1OL8I0D4vjOzYdsXYGK,https://api.spotify.com/v1/tracks/6Yu1OL8I0D4vjOzYdsXYGK,https://api.spotify.com/v1/audio-analysis/6Yu1OL8I0D4vjOzYdsXYGK,153133,4,12:51,Room On Fire
0.304,0.971,4,-3.226,1,0.0351,0.0594,0.955,0.0799,0.695,127.856,audio_features,6lnnaGN20kl0jEYJSxCgU9,spotify:track:6lnnaGN20kl0jEYJSxCgU9,https://api.spotify.com/v1/tracks/6lnnaGN20kl0jEYJSxCgU9,https://api.spotify.com/v1/audio-analysis/6lnnaGN20kl0jEYJSxCgU9,186267,4,You Talk Way Too Much,Room On Fire
0.427,0.941,7,-3.973,1,0.0336,6.70E-05,0.89,0.0772,0.587,139.956,audio_features,08l9WKDuRyGeStQ9ojTlFh,spotify:track:08l9WKDuRyGeStQ9ojTlFh,https://api.spotify.com/v1/tracks/08l9WKDuRyGeStQ9ojTlFh,https://api.spotify.com/v1/audio-analysis/08l9WKDuRyGeStQ9ojTlFh,176160,4,Meet Me in the Bathroom,Room On Fire
0.594,0.728,0,-6.917,1,0.0281,0.216,0.0881,0.124,0.687,137.97,audio_features,6YQeOwMMAkB9MV9yMWmrjh,spotify:track:6YQeOwMMAkB9MV9yMWmrjh,https://api.spotify.com/v1/tracks/6YQeOwMMAkB9MV9yMWmrjh,https://api.spotify.com/v1/audio-analysis/6YQeOwMMAkB9MV9yMWmrjh,264662,4,Threat of Joy,Future Present Past
0.516,0.942,2,-4.113,1,0.036,0.000182,0.464,0.116,0.964,95.996,audio_features,5GKVcvTgnFYtfh25qKQtRg,spotify:track:5GKVcvTgnFYtfh25qKQtRg,https://api.spotify.com/v1/tracks/5GKVcvTgnFYtfh25qKQtRg,https://api.spotify.com/v1/audio-analysis/5GKVcvTgnFYtfh25qKQtRg,242293,4,One Way Trigger,Comedown Machine
0.736,0.297,2,-9.648,1,0.035,0.863,1.49E-05,0.0609,0.185,125.78,audio_features,6z5mh42xSM54RncKZMM8hS,spotify:track:6z5mh42xSM54RncKZMM8hS,https://api.spotify.com/v1/tracks/6z5mh42xSM54RncKZMM8hS,https://api.spotify.com/v1/audio-analysis/6z5mh42xSM54RncKZMM8hS,182027,4,Call Me Back,Angles
