"track_name","artist_name","track_id","saved","simplified_genre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"Komo_te.amo","Knxwledge","3d7RS9PRTPMZvpQQefESoe",FALSE,"hip hop",0.518,0.717,6,-4.354,1,0.286,0.0665,0.00688,0.241,0.925,105.917,"audio_features","spotify:track:3d7RS9PRTPMZvpQQefESoe","https://api.spotify.com/v1/tracks/3d7RS9PRTPMZvpQQefESoe","https://api.spotify.com/v1/audio-analysis/3d7RS9PRTPMZvpQQefESoe",92667,5
"with[reality]","Knxwledge","4Ep74dfP28rj15kcqLcorC",FALSE,"hip hop",0.514,0.812,0,-3.67,0,0.448,0.799,0.00412,0.317,0.963,149.391,"audio_features","spotify:track:4Ep74dfP28rj15kcqLcorC","https://api.spotify.com/v1/tracks/4Ep74dfP28rj15kcqLcorC","https://api.spotify.com/v1/audio-analysis/4Ep74dfP28rj15kcqLcorC",54294,4
"do you","Knxwledge","3BiLAKUVkg1Vl7D0kcBo1H",FALSE,"hip hop",0.813,0.749,9,-6.875,0,0.0737,0.106,0.183,0.199,0.77,120,"audio_features","spotify:track:3BiLAKUVkg1Vl7D0kcBo1H","https://api.spotify.com/v1/tracks/3BiLAKUVkg1Vl7D0kcBo1H","https://api.spotify.com/v1/audio-analysis/3BiLAKUVkg1Vl7D0kcBo1H",169223,4
"Shookones","Knxwledge","1zBwTxRHP8FxvYfOMkU2B9",FALSE,"hip hop",0.497,0.751,8,-10.284,1,0.577,0.53,0,0.345,0.606,88.774,"audio_features","spotify:track:1zBwTxRHP8FxvYfOMkU2B9","https://api.spotify.com/v1/tracks/1zBwTxRHP8FxvYfOMkU2B9","https://api.spotify.com/v1/audio-analysis/1zBwTxRHP8FxvYfOMkU2B9",238263,4
"Nevrran_","Knxwledge","2yMV8VrCeXohkE5AZWQyly",FALSE,"hip hop",0.388,0.52,3,-10.513,0,0.057,0.207,0,0.562,0.903,102.591,"audio_features","spotify:track:2yMV8VrCeXohkE5AZWQyly","https://api.spotify.com/v1/tracks/2yMV8VrCeXohkE5AZWQyly","https://api.spotify.com/v1/audio-analysis/2yMV8VrCeXohkE5AZWQyly",133381,3
"watchwhoukallyourhomie","Knxwledge","0Y3ZB2CPEm2GfBc0UhAOOr",FALSE,"hip hop",0.424,0.719,1,-4.205,1,0.245,0.911,0,0.338,0.782,151.549,"audio_features","spotify:track:0Y3ZB2CPEm2GfBc0UhAOOr","https://api.spotify.com/v1/tracks/0Y3ZB2CPEm2GfBc0UhAOOr","https://api.spotify.com/v1/audio-analysis/0Y3ZB2CPEm2GfBc0UhAOOr",89995,4
"tkekareofit","Knxwledge","4Oxzqy53poltKbjtLHE54W",FALSE,"hip hop",0.673,0.55,7,-9.379,1,0.332,0.028,0.538,0.249,0.428,110.81,"audio_features","spotify:track:4Oxzqy53poltKbjtLHE54W","https://api.spotify.com/v1/tracks/4Oxzqy53poltKbjtLHE54W","https://api.spotify.com/v1/audio-analysis/4Oxzqy53poltKbjtLHE54W",91429,5
"I Heard","Knxwledge","0UcYNTeGXilqjMBBCbb1Ce",FALSE,"hip hop",0.671,0.495,1,-11.264,0,0.355,0.0249,0.0257,0.18,0.571,129.947,"audio_features","spotify:track:0UcYNTeGXilqjMBBCbb1Ce","https://api.spotify.com/v1/tracks/0UcYNTeGXilqjMBBCbb1Ce","https://api.spotify.com/v1/audio-analysis/0UcYNTeGXilqjMBBCbb1Ce",86805,4
"H.A.N. (Remix)","Knxwledge","2oUGp92UNGiuRaAOhAJCjz",FALSE,"hip hop",0.287,0.615,1,-9.092,1,0.219,0.0805,1.63e-06,0.148,0.623,82.395,"audio_features","spotify:track:2oUGp92UNGiuRaAOhAJCjz","https://api.spotify.com/v1/tracks/2oUGp92UNGiuRaAOhAJCjz","https://api.spotify.com/v1/audio-analysis/2oUGp92UNGiuRaAOhAJCjz",158250,4
"todaitsyew","Knxwledge","3dDVPAWhpjutBjQCdXgT5O",FALSE,"hip hop",0.7,0.57,5,-8.386,0,0.577,0.792,0.0412,0.156,0.63,73.097,"audio_features","spotify:track:3dDVPAWhpjutBjQCdXgT5O","https://api.spotify.com/v1/tracks/3dDVPAWhpjutBjQCdXgT5O","https://api.spotify.com/v1/audio-analysis/3dDVPAWhpjutBjQCdXgT5O",66931,4
"Silly_","Knxwledge","6AZeSxelnuN0FszzDrd3Hf",FALSE,"hip hop",0.637,0.72,1,-8.34,1,0.322,0.216,0,0.347,0.698,118.483,"audio_features","spotify:track:6AZeSxelnuN0FszzDrd3Hf","https://api.spotify.com/v1/tracks/6AZeSxelnuN0FszzDrd3Hf","https://api.spotify.com/v1/audio-analysis/6AZeSxelnuN0FszzDrd3Hf",58514,4
"Kntimagne","Knxwledge","1DYD0Hkmg82AbPlh9A0c4e",FALSE,"hip hop",0.742,0.844,8,-7.088,1,0.402,0.227,0,0.141,0.602,82.066,"audio_features","spotify:track:1DYD0Hkmg82AbPlh9A0c4e","https://api.spotify.com/v1/tracks/1DYD0Hkmg82AbPlh9A0c4e","https://api.spotify.com/v1/audio-analysis/1DYD0Hkmg82AbPlh9A0c4e",235206,4
"Her","Knxwledge","4QIG8RzgjRVyv4mIFOnR6g",FALSE,"hip hop",0.396,0.568,2,-10.502,0,0.0805,0.00341,7.3e-06,0.373,0.249,199.885,"audio_features","spotify:track:4QIG8RzgjRVyv4mIFOnR6g","https://api.spotify.com/v1/tracks/4QIG8RzgjRVyv4mIFOnR6g","https://api.spotify.com/v1/audio-analysis/4QIG8RzgjRVyv4mIFOnR6g",211226,4
"Kerfew_","Knxwledge","775w41FG2dVZZgwdybAFzo",FALSE,"hip hop",0.687,0.42,7,-12.489,1,0.142,0.147,0,0.219,0.706,78.788,"audio_features","spotify:track:775w41FG2dVZZgwdybAFzo","https://api.spotify.com/v1/tracks/775w41FG2dVZZgwdybAFzo","https://api.spotify.com/v1/audio-analysis/775w41FG2dVZZgwdybAFzo",127634,4
"Upproom","Knxwledge","2CvXEOdPwxzw2oHq1uoz7b",FALSE,"hip hop",0.45,0.771,6,-6.33,1,0.351,0.0966,0,0.212,0.881,80.613,"audio_features","spotify:track:2CvXEOdPwxzw2oHq1uoz7b","https://api.spotify.com/v1/tracks/2CvXEOdPwxzw2oHq1uoz7b","https://api.spotify.com/v1/audio-analysis/2CvXEOdPwxzw2oHq1uoz7b",69878,4
"feelin","Knxwledge","6svGdwsR4TW2J2bGOTQTpq",FALSE,"hip hop",0.564,0.516,6,-10.32,0,0.319,0.374,3.49e-05,0.395,0.338,189.721,"audio_features","spotify:track:6svGdwsR4TW2J2bGOTQTpq","https://api.spotify.com/v1/tracks/6svGdwsR4TW2J2bGOTQTpq","https://api.spotify.com/v1/audio-analysis/6svGdwsR4TW2J2bGOTQTpq",40421,4
"Ifulookin","Knxwledge","3NakdIEsdenT2kkHpE66mq",FALSE,"hip hop",0.538,0.517,10,-12.573,1,0.376,0.00968,0.482,0.339,0.587,187.806,"audio_features","spotify:track:3NakdIEsdenT2kkHpE66mq","https://api.spotify.com/v1/tracks/3NakdIEsdenT2kkHpE66mq","https://api.spotify.com/v1/audio-analysis/3NakdIEsdenT2kkHpE66mq",132519,4
"Enkounters","Knxwledge","40PFYN55q5IXVF4C2DsZpp",FALSE,"hip hop",0.336,0.97,1,-5.941,0,0.605,0.343,0.0135,0.158,0.726,172.426,"audio_features","spotify:track:40PFYN55q5IXVF4C2DsZpp","https://api.spotify.com/v1/tracks/40PFYN55q5IXVF4C2DsZpp","https://api.spotify.com/v1/audio-analysis/40PFYN55q5IXVF4C2DsZpp",146965,4
"Livvin (Remix)","Knxwledge","6hSjykidXxF9XSr4QKhjqp",FALSE,"hip hop",0.423,0.367,8,-12.933,1,0.0638,0.105,0.023,0.104,0.138,76.235,"audio_features","spotify:track:6hSjykidXxF9XSr4QKhjqp","https://api.spotify.com/v1/tracks/6hSjykidXxF9XSr4QKhjqp","https://api.spotify.com/v1/audio-analysis/6hSjykidXxF9XSr4QKhjqp",103196,4
"Khadijah","Knxwledge","66YXnXYGfXFA6KAYeySWpL",FALSE,"hip hop",0.759,0.722,1,-7.158,1,0.154,0.0669,0.00231,0.207,0.842,81.5,"audio_features","spotify:track:66YXnXYGfXFA6KAYeySWpL","https://api.spotify.com/v1/tracks/66YXnXYGfXFA6KAYeySWpL","https://api.spotify.com/v1/audio-analysis/66YXnXYGfXFA6KAYeySWpL",122373,4
"kometostai.aintreallynootherwaytoputitro","Knxwledge","7oeNO6HoCTIHIuoNUp2Ur4",FALSE,"hip hop",0.576,0.636,4,-8.688,1,0.0755,0.399,0.0513,0.23,0.438,78.244,"audio_features","spotify:track:7oeNO6HoCTIHIuoNUp2Ur4","https://api.spotify.com/v1/tracks/7oeNO6HoCTIHIuoNUp2Ur4","https://api.spotify.com/v1/audio-analysis/7oeNO6HoCTIHIuoNUp2Ur4",73898,4
"Skunk_","Knxwledge","0wPCrQLk0CeTCwUByVl5wB",FALSE,"hip hop",0.569,0.691,2,-7.036,1,0.334,0.218,0,0.376,0.801,161.727,"audio_features","spotify:track:0wPCrQLk0CeTCwUByVl5wB","https://api.spotify.com/v1/tracks/0wPCrQLk0CeTCwUByVl5wB","https://api.spotify.com/v1/audio-analysis/0wPCrQLk0CeTCwUByVl5wB",224209,4
"Timebak","Knxwledge","0P1Y9Vvef4bzPtGyLMdVaR",FALSE,"hip hop",0.648,0.371,11,-7.344,0,0.432,0.481,2.29e-05,0.128,0.743,82.18,"audio_features","spotify:track:0P1Y9Vvef4bzPtGyLMdVaR","https://api.spotify.com/v1/tracks/0P1Y9Vvef4bzPtGyLMdVaR","https://api.spotify.com/v1/audio-analysis/0P1Y9Vvef4bzPtGyLMdVaR",29858,1
"Marygoround","Knxwledge","6C5tmAhETtRauegpjViq5F",FALSE,"hip hop",0.353,0.448,2,-13.224,1,0.122,0.173,4.02e-05,0.205,0.693,137.177,"audio_features","spotify:track:6C5tmAhETtRauegpjViq5F","https://api.spotify.com/v1/tracks/6C5tmAhETtRauegpjViq5F","https://api.spotify.com/v1/audio-analysis/6C5tmAhETtRauegpjViq5F",219455,4
"Kaughtabodi.","Knxwledge","1sMarkjD2jRCZ7AFETVEAz",FALSE,"hip hop",0.464,0.581,11,-8.528,1,0.111,0.444,0.896,0.112,0.565,158.083,"audio_features","spotify:track:1sMarkjD2jRCZ7AFETVEAz","https://api.spotify.com/v1/tracks/1sMarkjD2jRCZ7AFETVEAz","https://api.spotify.com/v1/audio-analysis/1sMarkjD2jRCZ7AFETVEAz",123088,3
"Whogives","Knxwledge","1FXsWBPKRDSUCSeEVHD0Th",FALSE,"hip hop",0.371,0.522,3,-10.569,0,0.11,0.433,0,0.221,0.7,148.873,"audio_features","spotify:track:1FXsWBPKRDSUCSeEVHD0Th","https://api.spotify.com/v1/tracks/1FXsWBPKRDSUCSeEVHD0Th","https://api.spotify.com/v1/audio-analysis/1FXsWBPKRDSUCSeEVHD0Th",77375,4
