"name","id"
"Albert Hammond Jr","1Li0eIWeMeWcOOWpImcG9H"
"The Strokes","0epOFNiUfyON9EYx7Tpr6V"
"The Voidz","4nUBBtLtzqZGpdiynTJbYJ"
"Daft Punk","4tZwfgrHOc3mvqYlEYSvVi"
"Julian Casablancas","1rAv1GhTQ2rmG94p9lU3rB"
"Open Mike Eagle","5CuU6SRJjbbZL926nSGGxX"
"Has-Lo","6BsR78wTuibINAf3jC3Hbj"
"Exhibition","7HziAqUufwxB7VZx3ysxoM"
"Arctic Monkeys","7Ln80lUS6He07XvHI8qqHH"
"Nujabes","3Rq3YOF9YG9YfCWD4D56RZ"
"Shing02","0FB6beTn4vescDdnHeCUm9"
"Us3","4LtIfuFeAamus9OOItuWDD"
"Rahsaan","2cNCyL3WSlAatld5duatyD"
"Gerard Presencer","5A8UenAZRv51yZVv13nFQo"
"Blood Orange","6LEeAFiJF8OuPx747e1wxR"
"King Harvest","5FHwr1FymaS5kutIEK6e2y"
"Danger Mouse","2dBj3prW7gP9bCCOIQeDUf"
"Sparklehorse","64tVHZVSAZhDEiOJxnb6hE"
"Galt MacDermot","3b6TinIPahsS8iSCYAeinr"
"Tom Pierson","37pKA6kY6h4rcFUBwrrTDk"
"XXXTENTACION","15UsOTVnJzReFVN1VCnxy4"
"Tay-K","2ODbg2404zUzTi02qIPEjB"
"Mello Music Group","3c5J6hzTBZJVsjJ9FJoQ0V"
"Oddisee","72tRiBHei5G9M8it4h4sfC"
"Herbie Hancock","2ZvrvbQNrHKwjT7qfGFFUW"
"Daryl Hall & John Oates","77tT1kLj6mCWtFNqiOmP9H"
"Lil Peep","2kCcBybjl3SAtIcwdWpUe3"
"Madvillain","2aoFQUeHD1U7pL098lRsDU"
"Breakbot","0iui2Be5CP8EWxvHYsVspL"
"Irfane","3nqQeOUvDPTu4vtYtPfBjX"
"Milo","0J6PhnVD21GSFoJ9HoadLH"
"Hemlock Ernst","0nvvXVx3p5N71liittVwGa"
